SEQ,ITEM_NAME
171,SPECIAL_SET
172,SPECIAL_SET
173,PIZZA
174,SANDWICH
175,PIZZA
176,PIZZA
177,SPECIAL_SET
178,SANDWICH
179,PIZZA
180,PIZZA
180,PASTA
181,SEA_FOOD
182,JUICE
183,SPECIAL_SET
184,SALAD
185,PIZZA
186,PASTA
187,SALAD
188,JUICE
188,SPECIAL_SET
189,PIZZA
190,SALAD_BAR
191,STEAK
192,SEA_FOOD
193,PASTA
194,SALAD
195,STEAK
196,SALAD_BAR
197,SALAD_BAR
198,STEAK
199,PIZZA
200,SPECIAL_SET
201,SPECIAL_SET
202,PASTA
203,SPECIAL_SET
204,PASTA
205,JUICE
205,SEA_FOOD
206,JUICE
206,PIZZA
207,PASTA
208,PASTA
209,JUICE
209,PIZZA
210,PIZZA
211,PASTA
212,WINE
213,STEAK
214,STEAK
215,SPECIAL_SET
216,SALAD_BAR
217,PIZZA
218,PASTA
219,PASTA
220,SANDWICH
221,SANDWICH
222,SEA_FOOD
223,STEAK
224,SPECIAL_SET
225,JUICE
225,SALAD
225,SPECIAL_SET
226,SALAD_BAR
227,SALAD
227,PIZZA
228,STEAK
229,PIZZA
230,STEAK
231,STEAK
232,PASTA
233,SANDWICH
234,PIZZA
235,STEAK
236,SALAD_BAR
237,PASTA
238,PIZZA
239,PASTA
240,SPECIAL_SET
241,PASTA
242,SALAD_BAR
243,SPECIAL_SET
243,SALAD_BAR
244,SANDWICH
245,PIZZA
246,SEA_FOOD
246,JUICE
247,PIZZA
248,STEAK
249,SEA_FOOD
250,PIZZA
251,PASTA
252,SPECIAL_SET
253,STEAK
254,SANDWICH
255,JUICE
255,PIZZA
256,PIZZA
257,WINE
257,STEAK
258,PIZZA
259,SALAD
260,SEA_FOOD
261,PIZZA
262,SALAD_BAR
263,STEAK
264,SPECIAL_SET
265,SEA_FOOD
266,PASTA
267,SALAD_BAR
268,SALAD
269,WINE
269,PASTA
270,STEAK
271,SPECIAL_SET
272,JUICE
273,STEAK
274,SANDWICH
275,SPECIAL_SET
276,SALAD_BAR
277,SEA_FOOD
278,PASTA
279,PIZZA
279,SEA_FOOD
280,SEA_FOOD
281,PIZZA
282,SANDWICH
283,PIZZA
284,PASTA
285,PASTA
286,STEAK
286,SPECIAL_SET
287,PIZZA
288,SALAD_BAR
289,PASTA
290,JUICE
290,SEA_FOOD
291,SPECIAL_SET
291,WINE
292,WINE
292,SPECIAL_SET
293,SANDWICH
294,SPECIAL_SET
295,SANDWICH
296,STEAK
297,SANDWICH
298,STEAK
299,PIZZA
300,SALAD
301,SALAD_BAR
302,SPECIAL_SET
302,JUICE
303,PASTA
303,SPECIAL_SET
304,PASTA
305,SPECIAL_SET
305,SANDWICH
306,PASTA
307,STEAK
307,PIZZA
308,STEAK
309,SEA_FOOD
310,PIZZA
311,JUICE
312,SANDWICH
313,SALAD_BAR
313,SPECIAL_SET
314,STEAK
315,SANDWICH
316,SEA_FOOD
317,PASTA
318,PIZZA
319,PASTA
319,SALAD_BAR
320,SANDWICH
320,SPECIAL_SET
321,STEAK
322,PASTA
323,STEAK
324,JUICE
324,PIZZA
325,SPECIAL_SET
326,SALAD_BAR
327,SALAD_BAR
328,SEA_FOOD
329,PASTA
329,SALAD
330,WINE
331,SPECIAL_SET
332,SANDWICH
333,SPECIAL_SET
334,STEAK
335,SPECIAL_SET
336,STEAK
336,JUICE
337,STEAK
